2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7
,the circumference of the earth,,,I have loads of work,The government is under siege financially. ,Israel agreed to take other steps to alleviate unemployment ,angry citizens flout lockdown restrictions ,Israel and the US wanting to foment a war in the Middle East,PCR swab tests ,The party can pull the rug out from under your feet at any time,"pressure from workers who have complained of mistreatment, not least at AWS",Many of the freelancers only made income sporadically,"Nemo said that the ash plume from the first eruption reached 20,000 ft",Diplomatic efforts to broker a ceasefire in Gaza made slow progress,"Netanyahu, 71, has sought to undermine the government in waiting and find potential defectors within its ranks with the hope of chipping away at its razor-thin majority of 61 seats in a 120-seat Knesset","Women have taken up guns in northern and central Afghanistan, marching in the streets in their hundreds and sharing pictures of themselves with assault rifles on social media, in a show of defiance as the Taliban make sweeping gains nationwide"
,The bottom line is that we have to make a decision today,,,He’s been in a coma,I can see unabated pressure from other country. ,it eked out a clandestine existence ,demanding an immediate ceasefire ,Trump’s effort seem to be pivoting to try and persuade Republicans,Disruption levels ranged between a shambles and a catastroph,CHina has escalated its campaign to rein in the vast tech empire,"Jassy, 52, has long been seen as Bezos’s heir apparent, vying with Jeff Wilke",You always leave key takeaways,Iran’s foreign ministry has blamed Israel for sabotaging Iran’s main uranium enrichment facility,This is a battle between the unity of democracies in the 21st century and autocracies,"a Netanyahu ally, is seen as providing the prime minister with extra time to torpedo the coalition plans. Opposition figures had sought an earlier date.",Please be advised that president Zuma has decided to comply with the incarceration order
,He's always plunging into at the deep end,,,Hong Kong extradition,Lots of companies have miniaturized the device,7000 people were detained,As fighting raged between Armenian and Azerbaijan,Their haphazard plans have fallen apart ,Konstantinos was seemingly duped into thinking  he was taking to Top ESB general ,Ma- who had been feted as China’s greatest modern-day entrepreneur ,Bezos will hand the reins to Andy Jassy,Turkish president Erdogan issued a decree early on Saturday annulling Turkey’s ratification of the Istanbul convention,It’s officials have done little to dispel the notation,That’s what’s at stake here,the veteran incumbent urged rightwing opposition politicians to reject what he called a “dangerous leftwing government”,"Instability has been exacerbated by the Petrocaribe scandal, a controversy that arose from a scheme to buy discounted oil from Venezuela on cheap credit."
,"It's a holiday tomorrow, so you can lie in.",,,The police attempted to disperse the protester ,That was catalyst for my change. ,36 women were crammed into a cell,to the need for an immediate cessation ,They will ignore their state laws and somehow skew the election,Kempson was estranged from his mother,Liu Xiaoming a staunch defender of closer UK-China economic ties is standing down,Russian state prosecutors are poised to jail the opposition leader ,Astrazeneca will now hope any doubts are dispelled in the US and in Europe ,"Since then, the oil rich country has emerged as a major conduit for people from Africa and the Middle East",Israel and Palestinian militants have agreed to a ceasefire,Netanyahu’s Jewish ultra-Orthodox allies have lashed out at the coalition led by Lapid,This is an abhorrent act and I call for calm at this time.”
,Company executives refused to budge from their position,,,Membership has swelled to over 2000,The campaign was propelled by the government. ,leader of the Taliban delegation ,shaking up an antiquated structure ,Thye were now in accordance with international procedure,I will take it with a pinch of salt,Before China imposed new sovereignty laws on Hong Kong in June,the facade of democracy in Myammar had now crumbled,"Five people are feared dead and at least 20,000 people have fled a huge blaze engulfing shanty homes at Rohingya refugee camps",While the voting results were lopsided  and our direct relationship with employee is strong ,Egypt which had been mediating talks ,it would be encouraging to think that the massive upheaval afoot in Israeli politics with the unseating of Benjamin Netanyahu also signals a seismic shift in political culture.,"“We condemn this heinous act, and I am sending my sincere wishes for First Lady Moïse’s recovery,” the statement said."
,He has smeared ketchup over the hamburger ,,,Three times election almost ousted him,the full impact of the spil is still unfolding ,it is entitled to breach its obligation,Xi jumping has presided over an extensive military overland ,pelting paint at their compound ,Johonson’s announcement has been seized upon by labor ,"the most brutal and famous dictators have come down, crumbling to the power of the people",the military detained her and took direct control of the country in a coup,Dredgers have so far tried to clear silt around the ship,"If we don’t speak up now, the darkest times for free people are at hand ",There had been a “human operated” attempt to access data stored on central servers for a presumed random,"No matter how much European liberals decried its human rights record, Israel’s economy continued to soar, singer Netta won the Eurovision song contest in 2018 and the Jewish state ushered in the world’s most successful coronavirus vaccine programme.","“It could be foreign mercenaries, because the video footage showed them speaking in Spanish,” Edmond said."
,The room is cramp,,,The virus is rampant. ,The embattled Japanese government cease to work,described the E3 position as crackers and pandering to terrorists,I should make my comments pertinent to the topic ,The police used chemical-laced water cannon,The varient of covid-19,his campaign to efforts elsewhere across Africa to oust veteran leaders,Duterute is cracking down on drug dealers,The ship’s bow and stern had been lifted up against either side of the canal,There are few signs the Kremlin is willing to relent or give in to demands by the US president ,These faults may require rectification ,"In the midst of such national success, it’s not a hard narrative to sell to your constituents – that the Israeli-Palestinian conflict is uniquely intractable and because of eternal Palestinian intransigence, the problem must be managed or at best shrunk rather than resolved.","Speaking on a local radio station, Claude Joseph confirmed that Moïse, 53, had been killed, saying the attack was carried out by an “armed commando group” that included foreigners."
,16 hours ahead of your country,,,I’m disillusioned with the government,for a battered economy ,fears were exacerbated ,There will be a disparity between poor and rich ,The responsibility for the rift in relations ,human handled freight transport from the UK,An Apple vehicle would have the design cachet to compete with the California company,We want article 112 to ve revoked plus the release of four of our leaders and other political prisoners convicted by this law,They are slowly moving to the second contingency plan,"As the guilty verdicts were proclaimed, he closed his eyes and nodded his head repeatedly ","With the rectification of this error, the profits will increase","Since their unprecedented postponement in March last year, as the coronavirus began its surge around the world, the Games have been stripped of almost every vestige of what makes them the most anticipated event in the sporting calendar.","Steve Valdez-Symonds, refugee and migrants rights programme director at Amnesty International UK, branded the bill “legislative vandalism”, claimed it could “fatally undermine the right to asylum” and accused Patel of a “shameful dereliction of duty”, adding: “This reckless and deeply unjust bill is set to bring shame on Britain’s international reputation.”"
,We have to ride out the situation,,,The corona virus might engulf the whole country ,individual rights to reparations,conditions hasd spawned global outrage ,disentangle a 19-year military presence would take a long time,Australia and Japan will pay corresponding price,We have to endure this debilitating situation,as it backtracked on a statement acknowledging “early discussion” with the iPhone manufacture,Iran’s semi - official ISNA news agency quoted truck drivers as saying more than 500 trucks carrying natural gas and fuel had burned,From soldiers randomly shooting passersby in the street imminent economic collapse ,Wester observers believe Moscow had an ulterior motive and was sending a pointed message to Kyiv and to the Biden administration,It’s important to defer to what students say,"But in explaining their motives for persevering in the face of opposition from the Japanese public, health experts and even a member of the Japanese Olympic Committee, IOC officials have avoided any mention of the irrepressible force driving the Games towards their 23 July opening date.","The change is one of many in the bill, described as “the biggest overhaul of the UK’s asylum system in decades” by Patel,"
,I need to be vigilant ,,,It’s imperative to contain the virus.,to resolve their feud,in the mangled wreckage of gutted facilities incinerated tents and blackened containers,dismantle the US military headquarters by,We also moved our parent’s grave the Azerbaijanis will take great pleasure in desectrating our graves,large numbers of debilitating strokes can be prevented,The strike on their motorcade was ordered by Trump ,He is expected to devise a strong and feasible plan for the EU recovery money,Chile trains only Israel and the UAE in vaccine doses,In the 1970s KGB chief Yuri Andropov realized that the most effective way to silence and to render irrelevant troublesome dissidents was to dump them in the west,Lukashenko has appeared unrepentant over the arrest of Raman,"Organisers would have to reimburse Japanese sponsors, which have invested a record $3.3bn in the event, on top of the estimated $800m they have already forfeited in ticket sales due to the ban on foreign spectators.",Pentagon spokesman John Kirby said on Tuesday that the exact moment of the departure “was not divulged for operational security purposes.
,I have to keep abreast of the corona virus situation,,,Lots of companies are teetering on the brink of bankruptcy.,Naruhito expressing deep remorse ,which critics claim will negate key parts,peace negotiations in jeopardy ,Amhara and Tigray are embroiled in long running disputes over land ,They are almost shaped like torpedoes,in case Earth gets hit by a meteor,The international community must not relent ,However diplomats and other observers say the insurgents remain in control,But others will claim that the interview is an attempt by Zarif to exonerate himself for the failures in Iranian foreign policy,A 48 year old hairdresser who lost his younger brother to Covid-19,The prospects of an IOC-led cancellation are practically nil.,"The looters entered from the north, smashing through the first barrier, ransacking buildings, loading anything that was not nailed down into trucks, he told the AP."
,,,,I hope the Japanese government will not abdicate its responsibility on the campaign.,Tom and Mary were jailed for 10 and 13 day respectively.,European fishing fleets,Trumps has made impulsive policy announcement ,The government was rebuffed ,Two new fungi species that infect flies ,"Elon Musk, the maverick boss of Tesla",It is understood that the terms of Hathloul’s probation prevent her from discussing her ordeal in prison,,Johnson’s callous comments will have caused untold hurt to thousands of us,Far-right president who has repeatedly trivialized the coronavirus as a little flu,"“The IOC has long been a profit-gobbling cartel, and one of the most pervasive yet least accountable sport infrastructures in the world,”","The furtive departure from Bagram airbase, which is vital to the security of Kabul and holds about 5,000 mostly Taliban prisoners, infuriated the Afghans."
,,,,Some people try to avert the corona virus,why the ship deviated from the course ,Boris has been laid bare in leaked diplomatic cables,"mandatory paid leave for childbirth, baptism, bereavement",The Greek prime minister called Erdogan to offer his condolences ,"Novichok, the same lethal nerve agent",You have to draw the line at the corona virus issue,Netanyahu forged a close bond with Donald Trump,,MEPs had delayed their consent vote to the end of April in part in response to unilateral decisions by Downing Street to,,“I can’t think of another moment when it was so glaringly obvious to the general public that big money is fuelling the five-ring juggernaut.”,"The ministers say that “consent is also fraying because there is a sense that the current arrangements could corrode the link between NI and the rest of the UK”, pointing out that in 2018 inward trade from Great Britain to Northern Ireland was “five times” greater than imports from the Republic of Ireland"
,,,,The spy has infiltrated into the country.,The plan to sink the freighter ,Brexit stockpiles had been depleted,which will amend 1200 provisions,All had been dispatched  to help those affected ,Yulia managed to stagger with difficulty back to her hotel ,The COVID vaccine might be rolled out in February ,the Pfizer/Biontech vaccine is reducing viral load,,But she conceded relations were at a crossroads,,"Boris Johnson has claimed the UK has an “indestructible relationship” with the US, after his bilateral meeting on Thursday with president Joe Biden.",Coveney also accused the UK of stoking political sensitivities in Northern Ireland.
,,,,My government was thwarted in attempt to take control of politics ,It might start a family feud  ,He was also being weaned off mechanical ventilation ,risk contravening international best practice standards,to be facing financial calamity ,who regularly attack local people and kidnap for ransom ,to move to the political needle in a highly polarized country,Boris said that the virus “will always try to outwit us”,,Christian evangelicals who comprise a dwindling but still important chunk of the party’s base,,"But in an interview with the BBC after the pair met, he sought to underscore the closeness between the two nations, despite Biden’s concerns about the damaging standoff with the EU over the Northern Ireland protocol.","In the piece, Frost and Lewis say Wednesday’s agreement was “welcome” but that it addressed “only a small part of the underlying problem”, claiming the “process to resolve all these difficulties” was “creating a series of rolling crises as we lurch from one deadline to another"
,,,,There had been no Israeli military casualties.,I felt quite guilty and full of remorse,have decided to prop him up,Tensions have been mediated by Russia   ,The government has taken so long in heeding their advice,The presiding judge adjourned the case,China’s government reining in a businessman who was over stepping ,in a relatively young age group demographic - with very low prevelence of morbidities such as hypertension and diabetes etc,,There is no obvious succesor to Foster ,,"But you know, it encompasses a reality which is that the UK and the US have a real congruence of views on some stuff that really matters to the world.","Look, concessions don’t matter. What is required now is to dismantle elements of the protocol piece by piece"
,,,,The infantry was/were guarding the bridge.,I have never been interrogated by the police,”Putishenko” a pun suggestive of Putin’s support ,full control of the area and surrounding enclaves,Public interest in the issue has waxed and waned over the years.,After being charged with colluding with foreign entities,He delivered a blunt speech criticizing national regulations ,Most of those still missing had been constructing or working on two dams decimated by the surge of water,,On Wednesday he pulled out of a planned meeting with his Irish minister counterpart ,,"There are ways of enforcing the protocol, ways of making it work, that may be excessively burdensome",Irish foreign minister hits out at Brexit minister over provocative article on Northern Ireland protocol
,,,,The town is under heavy artillery fire.,Nepotism is rife among Japanese companies ,in a tweet expressing condolences for those who had lost their lives ,Mingachevir had been attacked and it hosts water reservoir,but it’s power has waned ,The Israeli prime minister hailed the agreement ,Jack Ma has fallen out with Beijing,a Himalayan glacier broke off and caused a high velocity surge of water down a river,,Some speculated India may have naturally reached herd immunity,,but is also not ruling out taking unilateral action,"While supply challenges grind on, dose-sharing can help plug the gap."
,,,,The population mobilize public opinion against government.,The US has the endemic problem of racism,gale-force winds wielded a trial of destruction ,The situation was fluctuating,in the restive Tigray region,the reference was defamatory,South Korea was about $7bn in arrears,Three lockdowns have seen often flagrant violations of the rules,,,,"His comments appeared to be a repudiation of his own party’s policies, when a decade of austerity was imposed on public services and welfare benefits after 2010.","Authorities in South Africa have been unable to stem the spread of the new variant, only moving to impose new restrictions after a massive wave of infections ravaged the country’s economic heartland."
,,,,,The presidents was besieged by protesters,Lukashenko on Wednesday accused the US of fomenting protested,Combatant were repatriated to the country ,Russia intends to ramp up gas production ,Any information pertaining to it does not come from institutional sources,to release billions of dollars of Iranian oil-export revenues,Khodorkovsky was jailed for nearly a decade on tax evasion,,,,"What’s gone wrong with this pandemic, what risks being a lasting scar is, the inequalities that have been entrenched.","The health system in Johannesburg, South Africa’s biggest city, is being overwhelmed by a massive wave of infections driven by the Delta variant, the winter in the southern hemisphere and a faltering vaccine campaign."
,,,,,This was a blatant attempt,who has lost legitimacy among much of the population ,lese-majesty law to be scrapped ,Russia has no plans to rein in its production ,the only feasible solution,Iran’s Revolutionary Guards have seized a South Korean vessel,working with IT specialists from china to ring-fence the internet ,,,,"The Carbis Bay declaration will include commitments to step up research into zoonotic diseases, those which jump from animals to humans.",Health service buckling as third coronavirus wave fuelled by Delta variant sweeps across South Africa
,,,,,the mass detention of over 50 journalists,Belarus charges opposition leader with undermining national security ,police raided the office ,That could blow away shanties ,The priest helped to negotiate a truce between the warring sides ,Pfizer vaccine that has been rolled out in Europe and the US,The junta held its first press conference on Tuesday,,,,"The German chancellor, Angela Merkel, appears to have stolen a march on Johnson in receiving an invitation to the White House, however.","UK cabinet ministers have been calling for concessions on the protocol, saying that “a seriously unbalanced situation” has developed in the operation of the agreement"
,,,,,try to topple his government ,Some relations have flourished discreetly ,harsh defamation law,Amhara and Tigray are embroiled in long running disputes over land ,The deal increases Israel’s belligerence and its denial,Serum institute the world’s largest vaccine manufacture is likely to make most of the inoculations for developing countries,Myammar’s military regime has filed a new charge against the deposed leader Aung San Suu Kyi,,,,Boris Johnson was embroiled in an extraordinary public spat with EU leaders over Northern Ireland on Saturday as tensions over Brexit boiled over at the G7 summit in Cornwall.,"And also the sense of flexibility that Europe has indicated to the UK that it is willing to deploy, in respect of the workingout of issues pertaining to the protocol"
,,,,,stand-off between Lukashenko and protesters,Russia doctors who ruled out poisoning,to be declared persona non grata in Germany,,We recognaize their sovereignty over the Western Sahara,Museveni’s supporters were jubilant on Saturday ,Min Aung Halaing is using every tool the has to instigate fears and instabilities,,,,an unrepentant Johnson said he had urged his EU colleagues to “get it into their heads” that the UK is “a single country”.,Irish taoiseach urges No 10 to match EU generosity over NI protocol
,,,,,The site is part of sprawling media,a general election was imminent ,a petition calling for King Maha,,they would reform an archaic system,Wine had earlier accused Museveni of fabricating the results ,When people used live ammunition to break up crowds of protesters,,,,He told Sky News the EU was constructing “all kinds of impediments” instead of applying the protocol “sensibly”,"On Friday, a supreme court judge ordered an investigation into whether Bolsonaro had failed to act after being alerted to suspicions of high-level corruption involving the procurement of millions of Covid vaccines from the Indian pharmaceutical company Bharat Biotech"
,,,,,Russia rules out inquiry into poisoning ,Lukashenko has been reluctant to cede power,arrest warrants had been issued ,,thousands of farmers have been camped out around the periphery of Delhi until the three agricurtural laws are repealed ,aging leaders who refused to relinquish power,The bullet went through and I could see his ligaments,,,,The lesson of this week is that you can’t have a global Britain which is genuinely respected and influential and impactful around the world if people doubt your basic bona fides.,"Souza wore a bright red T-shirt calling for the return of Bolsonaro’s leftwing antagonist, the former president Luiz Inácio Lula da Silva, who recently stormed back on the political scene after his political rights were restored and is expected to run for the presidency next year"
,,,,,to help them recuperate from the effect,to calm the impending row,state of emergency to be revoked ,,Farmers in India have shut down swathes of the countries transport,"Wine, who has galvanized a mass movement of young people",We are no longer going to use the phrase ‘prisoner of conscience’ in regards to Navalney insofar as our law and policy department ,,,,"EU leaders took the opportunity to issue a concerted rebuke to Johnson in back-to-back meetings on Saturday morning, over what they regard as the UK’s abject failure to abide by the Northern Ireland protocol.","“I’m here because we absolutely have to get this monster out of power and reclaim Brazil,” said Magda Souza, a 64-year-old dissenter, as she marched through downtown Rio with her husband, José Baptisa"
,,,,,the passport was confiscated,This is what an oligarchy looked like,Restoring nature did not have to be at the expense of 〜,,"experienced seizures, nausea, and foamed",opposition figures said the vote had been marred by fraud and violence,I want to reassure that are ramping up production and doing everything,,,,Rhetoric needs to be toned down and we need to actively look for the solutions … in the protocol,"Peace talks between the government and the Taliban, meant to be kickstarted by the US withdrawal, have largely stalled as militants try to consolidate their position on the ground."
,,,,,restoring control,"Lebanon’s prime minister designate, Adib has stood down",Store equating to half of all human 〜,,such a move would jeopardize our shared efforts ,The Foreign Minister held talks with his Chinese counterpart ,,,,,"Lord Frost, the cabinet minister and EU negotiator whose pugnacious approach has dismayed his European counterpart, Maroš Šefčovič, attended all three meetings on Saturday",Few politicians want to highlight that a military project launched to destroy the Taliban is ending with the group resurgent across Afghanistan.
,,,,,broad swathes of the population,Mitch have shown no compunction ,boosting dwindling wildlife populations,,Iran’s nuclear sites would be imcompatible with the nuclear deal,Russia government agencies threatening to review a probation from 2014 conviction,,,,,"Ahead of the Knesset vote, Bennett attempted to give a conciliatory speech, even as Netanyahu’s allies heckled him from their seats.","US President Joe Biden denied reports that the US withdrawal would be completed in the next few days, but then ducked further questions at the White House, saying he wanted to celebrate the 4 July holiday weekend and would address the issue next week."
,,,,,any tangible progress ,Ginsburg died last Friday of pancreatic cancer ,can take massive strides,,unless endorsed by the president,It is clear that national security law is being used to eliminate dissent,,,,,"Speaking after Bennett, Netanyahu struck a different tone, first boasting that he had transformed Israel “from a marginal country to a rising force”","With that hub handed over to Afghan security forces, it sets the scene for the final departure of American forces from the country only months before the 20th anniversary of the start of US operations to topple the Taliban, launched in response to the 9/11 attacks."
,,,,,I read it in the preface to her new book,That smell always conjure up momeries of holidays in France,out who she felt with being devious ,,the exact circumstances of the putative exposures,Perry is regarded as one of the most formidable British QCs,,,,,Installing the new administration breaks a political deadlock that has seen four snap elections since 2019,"two wine glasses, filled to the brim"
,,,,,it has never endorsed the book,How to reconcile carbon neutrality with China’s ongoing coal expansion ,having to qualms about calling people,,action against accredited diplomatic agents,A British barrister has agreed to act for the Hong Kong government.,,,,,"he became his own greatest enemy: his egocentrism, his personal and public paranoia, his avarice, his ongoing incitement and his hubris unified the opposition to him from across the political spectrum to the point that they joined forces to successfully bring him down",Community Facebook groups were brimming with posts by residents desperate to track down their missing loved ones.
,,,,,uninternational tribunal ,The unexpectedly forthright commitment will give fresh impetus to the UN’s effort ,a protracted legal dispute ,,clinical heterogeneity of the illness,Farming unions reiterated that they would not participate ,,,,,the 49-year-old has fallen foul of his old boss,Deadly British Columbia heatwave sows wildfires across Canada’s west
,,,,,Kremlin opponents and dissident ,Ex: The Prime Minister’s support will give (an) added impetus to the campaign against crime,An Amnesty spokesman corroborated the claims,,Everything from mosquito fumigation ,it was met with derision by farmer’s leaders ,,,,,A similar far-right parade last month – held to flaunt Israel’s control of the entire city – played a key role in building the tensions that led to the 11-day Gaza war.,"In the morning we called and said we don’t need airstrikes, just pick up the dead and injured, but they never came either,” added the commando, who wished to remain anonymous for fear of repercussions."
,,,,,Someone vehemently opposed ,it has a new mandate to interdict ,clamping down on one of the most striking protest ,,the accession of Vajira Longkorn,Judges ordered to look into farmer’s grievances over the laws,,,,,The new permit will become compulsory from 1 October,"Afghanistan runs a small air force, which carries out attack operations and medical evacuations, and supplies remote and besieged outposts."
,,,,,Navalny’s prognosis remains unclear,The disagreement is not just a legal wrangle ,That left many across the world reeling ,,deomed defamatory toward the monarchy ,to a bemused driver with several sandwiches wrapped in tin foil ,,,,,"The US will retaliate if Russia continues to carry out malicious cyber-attacks against American targets, Joe Biden said on Wednesday, after holding “good and positive” talks in Geneva with Russia’s president, Vladimir Putin.","One of the biggest questions is about air support, which has been vital to staving off major Taliban advances in recent years, particularly on cities such as Kunduz."
,,,,,Nobel laureate an enzyme  ,even under a balaclava ,to enforce 24-curfew,,He led a birthday commemoration for his revered late father ,custom officers confiscating ham sandwiches from drivers ,,,,,"The summit held at a picturesque 18th-century mansion overlooking Lake Geneva ended on an optimistic note, with both leaders cautiously praising the other.","The cities tend to be bulwarks of security and anti-militant sentiment, but the Taliban are closing in on several, and are expected to mount a serious military push for some of the provincial capitals once the US withdrawal is complete"
,,,,,Before this Sunday’s rally  ,in retaliation for a crack down ,The French teacher decapitated has been,,it heralds danger for people working for ethical and just AI,while the cumulative number of confirmed cases recently passed 2m mark,,,,,The relationship is a pragmatic one.”,"It is a message that may play well at home, but rings hollow in Afghanistan, where violence is spiralling and the Taliban threat grows by the day."
